date,spread_return,test_year,selected_horizon,selected_direction
2019-04-18,-0.0016992325344732384,2019,1,reversal
2019-04-22,-0.003510046174249836,2019,1,reversal
2019-04-23,-0.00046813498345381647,2019,1,reversal
2019-04-24,0.004828168499971475,2019,1,reversal
2019-04-25,-0.006709996628571613,2019,1,reversal
2019-04-26,-0.0002634216818249045,2019,1,reversal
2019-04-29,0.013144506936302536,2019,1,reversal
2019-04-30,0.006111185456950819,2019,1,reversal
2019-05-01,-0.0022488303513078624,2019,1,reversal
2019-05-02,0.002270130186609865,2019,1,reversal
2019-05-03,-0.0026212776511878363,2019,1,reversal
2019-05-06,-0.009548148245308353,2019,1,reversal
2019-05-07,0.007342357444864833,2019,1,reversal
2019-05-08,0.0023958216598554682,2019,1,reversal
2019-05-09,-0.0014669498408012346,2019,1,reversal
2019-05-10,-0.020943038125739395,2019,1,reversal
2019-05-13,0.007969764076949416,2019,1,reversal
2019-05-14,0.0045087151289507025,2019,1,reversal
2019-05-15,0.0012742435508292793,2019,1,reversal
2019-05-16,-0.010895409656074238,2019,1,reversal
2019-05-17,-0.012042411676783639,2019,1,reversal
2019-05-20,0.00590268627032794,2019,1,reversal
2019-05-21,0.02072494281536926,2019,1,reversal
2019-05-22,-0.011220917441062628,2019,1,reversal
2019-05-23,0.0018362124792658306,2019,1,reversal
2019-05-24,-0.0046345407867210645,2019,1,reversal
2019-05-28,0.00741335013579536,2019,1,reversal
2019-05-29,0.0019783465026641635,2019,1,reversal
2019-05-30,-0.010088405504091137,2019,1,reversal
2019-05-31,-0.005820886409984427,2019,1,reversal
2019-06-03,0.010715029327711869,2019,1,reversal
